epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2212,1.1609,1.99831,1.60561,0.42624,0.33065,0.30063,0.10331,2.20067,2.87585,3.10265,0.000660066,0.000660066,0.000660066
2,66.2625,1.32202,1.61942,1.72744,0.55742,0.46843,0.42475,0.17643,1.88089,2.20779,2.65338,0.00130046,0.00130046,0.00130046
3,97.7781,1.33224,1.51483,1.72548,0.55449,0.47302,0.43179,0.16789,2.09006,3.27426,2.79463,0.00191446,0.00191446,0.00191446
4,128.858,1.3639,1.51573,1.76612,0.41414,0.36969,0.31564,0.1068,2.23234,2.9758,2.72241,0.0018812,0.0018812,0.0018812
5,159.983,1.2949,1.39133,1.70007,0.41704,0.39424,0.3487,0.13572,2.10782,2.35244,2.60293,0.0018416,0.0018416,0.0018416
6,191.056,1.24877,1.32371,1.67023,0.76343,0.53846,0.62961,0.32644,1.68035,1.53265,2.24436,0.001802,0.001802,0.001802
7,222.189,1.23681,1.30534,1.6399,0.62569,0.522,0.52512,0.24271,1.83389,1.72812,2.37844,0.0017624,0.0017624,0.0017624
8,253.259,1.20275,1.27119,1.6171,0.699,0.53502,0.60901,0.33011,1.63327,1.55996,2.17495,0.0017228,0.0017228,0.0017228
9,284.482,1.15949,1.1867,1.58979,0.71056,0.53042,0.60471,0.3292,1.59905,1.61264,2.06271,0.0016832,0.0016832,0.0016832
10,315.748,1.13462,1.17617,1.56523,0.71463,0.60735,0.67838,0.36616,1.56028,1.43721,2.11261,0.0016436,0.0016436,0.0016436
11,346.823,1.11803,1.13161,1.55485,0.71796,0.55913,0.62961,0.32714,1.68739,1.56509,2.27801,0.001604,0.001604,0.001604
12,378.067,1.11076,1.11785,1.55119,0.83243,0.57061,0.68039,0.40118,1.42297,1.33486,1.94057,0.0015644,0.0015644,0.0015644
