epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.739,1.81633,2.26072,2.18754,0.21221,0.33295,0.13143,0.03945,2.4072,2.89855,3.10541,0.000665834,0.000665834,0.000665834
2,1191.33,1.83059,2.23201,2.18262,0.3864,0.33639,0.27103,0.08736,2.38766,2.48339,2.99742,0.00132151,0.00132151,0.00132151
3,1819.83,1.68358,2.04403,2.0542,0.47883,0.4271,0.3688,0.14463,1.93153,2.25034,2.6482,0.00196618,0.00196618,0.00196618
4,2195.25,1.6204,1.98025,2.01622,0.52102,0.41338,0.37945,0.15046,2.01046,2.14917,2.71883,0.0019505,0.0019505,0.0019505
5,2579.69,1.5534,1.89689,1.96029,0.47743,0.4225,0.38193,0.16055,1.86059,2.13211,2.46859,0.001934,0.001934,0.001934
6,2891.59,1.5277,1.85093,1.9266,0.58595,0.44546,0.43619,0.2041,1.76075,1.92563,2.36202,0.0019175,0.0019175,0.0019175
7,3366.69,1.4746,1.74628,1.88054,0.58365,0.49088,0.49027,0.23325,1.74072,1.84732,2.31172,0.001901,0.001901,0.001901
8,3630.12,1.45752,1.7426,1.87359,0.6316,0.52928,0.52148,0.255,1.73085,1.81334,2.32679,0.0018845,0.0018845,0.0018845
9,3912.88,1.41805,1.67512,1.83484,0.71005,0.50045,0.54752,0.26663,1.64421,1.70171,2.2502,0.001868,0.001868,0.001868
10,4175.45,1.40177,1.63295,1.80683,0.69491,0.51778,0.56323,0.29728,1.62052,1.61659,2.16032,0.0018515,0.0018515,0.0018515
11,4435.39,1.3764,1.58126,1.78933,0.68932,0.5132,0.56257,0.2995,1.5446,1.66642,2.12339,0.001835,0.001835,0.001835
12,4697.04,1.37239,1.58345,1.79205,0.71116,0.47761,0.53797,0.27412,1.59241,1.63745,2.14833,0.0018185,0.0018185,0.0018185
13,4953.06,1.3513,1.56042,1.774,0.68803,0.54187,0.58695,0.31689,1.53257,1.56605,2.09894,0.001802,0.001802,0.001802
14,5212.45,1.34013,1.52853,1.7515,0.71276,0.5242,0.59068,0.31329,1.54847,1.51241,2.08758,0.0017855,0.0017855,0.0017855
15,5468.76,1.31448,1.49343,1.72085,0.65094,0.53527,0.58574,0.31238,1.57121,1.57938,2.10293,0.001769,0.001769,0.001769
16,5739.59,1.31919,1.49855,1.74384,0.72138,0.53387,0.60065,0.33514,1.49677,1.50059,2.05437,0.0017525,0.0017525,0.0017525
17,6079.34,1.29458,1.46327,1.70885,0.70717,0.52402,0.60243,0.33022,1.53474,1.51663,2.06842,0.001736,0.001736,0.001736
